date,day_of_week,month,season,is_holiday,total_price,n_items,spending_per_item,is_outlier
2025-04-17,3,4,primavera,0,27.54,4,6.88,0
2025-01-29,2,1,inverno,0,13.5,1,13.5,0
2025-05-27,1,5,primavera,0,2.0,1,2.0,0
2025-05-30,4,5,primavera,0,4.0,2,2.0,0
2024-10-01,1,10,autunno,0,67.0,13,5.15,0
2024-10-02,2,10,autunno,0,28.0,7,4.0,0
2024-10-02,2,10,autunno,0,3.5,1,3.5,0
2024-07-19,4,7,estate,0,10.0,2,5.0,0
2024-07-18,3,7,estate,0,18.0,4,4.5,0
2024-11-03,6,11,autunno,0,167.43,10,16.74,1
2025-05-10,5,5,primavera,0,41.25,25,1.65,0
2025-03-04,1,3,primavera,0,26.9,2,13.45,0
2025-05-08,3,5,primavera,0,12.0,2,6.0,0
2025-05-30,4,5,primavera,0,13.0,4,3.25,0
2025-05-27,1,5,primavera,0,4.27,2,2.13,0
2025-06-30,0,6,estate,0,10.0,2,5.0,0
2025-06-13,4,6,estate,0,12.0,2,6.0,0
2026-06-13,5,6,estate,0,13.38,5,2.68,0
2025-06-13,4,6,estate,0,15.36,9,1.71,0
2025-06-30,0,6,estate,0,18.93,7,2.7,0
2026-06-05,4,6,estate,0,28.38,12,2.36,0
2025-05-19,0,5,primavera,0,13.66,12,1.14,0
2025-03-30,6,3,primavera,0,29.99,1,29.99,0
2025-06-15,6,6,estate,0,31.0,4,7.75,0
2025-06-09,0,6,estate,0,7.73,4,1.93,0
2025-06-14,5,6,estate,0,7.4,4,1.85,0
2025-06-18,2,6,estate,0,24.36,7,3.48,0
2025-06-19,3,6,estate,0,7.64,4,1.91,0
2025-06-28,5,6,estate,0,25.5,1,25.5,0
2025-06-28,5,6,estate,0,28.0,1,28.0,0
2025-06-21,5,6,estate,0,36.43,17,2.14,0
2025-06-21,5,6,estate,0,32.63,14,2.33,0
2025-06-25,2,6,estate,0,30.4,24,1.27,0
2025-03-30,6,3,primavera,0,13.99,1,13.99,0
2025-06-26,3,6,estate,0,29.99,10,3.0,0
2025-06-24,1,6,estate,0,10.0,1,10.0,0
2025-06-28,5,6,estate,0,30.8,16,1.93,0
2025-06-22,6,6,estate,0,42.28,17,2.49,0
2025-07-02,2,7,estate,0,10.19,10,1.02,0
2025-07-04,4,7,estate,0,42.3,28,1.51,1
2026-07-04,5,7,estate,0,23.2,8,2.9,0
